features,prediction
"[77.0,7.9,2012.0]",3
"[97.0,7.5,2001.0]",3
"[86.0,8.9,2006.0]",3
"[94.0,8.7,2006.0]",3
"[68.0,7.1250461133070315,1987.0]",2
"[82.0,9.1,2005.0]",3
"[56.0,8.3,2010.0]",4
"[68.0,4.8,2014.0]",0
"[86.0,8.1,2006.0]",3
"[68.0,7.1250461133070315,1991.0]",2
"[87.0,9.0,2005.0]",3
"[68.0,7.1250461133070315,2011.0]",0
"[93.0,9.0,2013.0]",3
"[68.0,7.1250461133070315,2014.0]",0
"[68.0,7.1250461133070315,1980.0]",2
"[68.0,4.9,2014.0]",0
"[68.0,4.5,2014.0]",0
"[89.0,6.5,2008.0]",3
"[79.0,7.3,2001.0]",3
"[91.0,8.9,2009.0]",3
"[91.0,9.3,2004.0]",3
"[80.0,7.5,2011.0]",3
"[88.0,6.2,2015.0]",3
"[84.0,4.2,2013.0]",3
"[85.0,8.7,2006.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[80.0,7.8,2005.0]",3
"[80.0,7.5,2003.0]",3
"[80.0,7.1,2007.0]",3
"[80.0,7.2,2011.0]",3
"[68.0,7.1250461133070315,2011.0]",0
"[68.0,7.1250461133070315,1989.0]",2
"[94.0,7.3,2009.0]",3
"[68.0,7.1250461133070315,1984.0]",2
"[68.0,7.1250461133070315,1997.0]",2
"[95.0,7.7,2002.0]",3
"[96.0,9.1,1997.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[68.0,7.1250461133070315,2006.0]",0
"[68.0,7.1250461133070315,1992.0]",2
"[91.0,7.9,2007.0]",3
"[88.0,8.4,2016.0]",3
"[93.0,8.9,2007.0]",3
"[68.0,8.2,2005.0]",0
"[84.0,8.1,2010.0]",3
"[90.0,8.3,2007.0]",3
"[56.0,6.0,2007.0]",4
"[80.0,6.3,2014.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[85.0,8.5,2000.0]",3
"[85.0,7.7,2014.0]",3
"[68.0,7.1250461133070315,1997.0]",2
"[68.0,7.1250461133070315,1984.0]",2
"[61.0,0.0,2005.0]",0
"[89.0,8.6,2009.0]",3
"[92.0,9.2,2015.0]",3
"[70.0,4.9,2014.0]",0
"[87.0,7.6,2015.0]",3
"[93.0,8.0,2011.0]",3
"[90.0,8.0,2008.0]",3
"[84.0,8.8,2007.0]",3
"[68.0,7.1250461133070315,1994.0]",2
"[81.0,8.7,2009.0]",3
"[90.0,8.7,2003.0]",3
"[86.0,8.7,2014.0]",3
"[94.0,8.1,2011.0]",3
"[87.0,6.7,2015.0]",3
"[88.0,8.6,2005.0]",3
"[68.0,7.1250461133070315,1988.0]",2
"[84.0,7.4,2006.0]",3
"[68.0,7.1250461133070315,2011.0]",0
"[91.0,9.1,2004.0]",3
"[76.0,7.9,2010.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[68.0,7.1250461133070315,1992.0]",2
"[78.0,3.7,2013.0]",3
"[59.0,4.0,2007.0]",0
"[80.0,7.0,2016.0]",3
"[68.0,6.9,2007.0]",0
"[68.0,7.1250461133070315,1996.0]",2
"[68.0,7.1250461133070315,2009.0]",0
"[77.0,7.5,2008.0]",3
"[79.0,8.0,2002.0]",3
"[68.0,7.1250461133070315,2007.0]",0
"[64.0,7.5,2001.0]",2
"[68.0,7.1250461133070315,2011.0]",0
"[68.0,7.1250461133070315,1999.0]",2
"[85.0,7.9,2007.0]",3
"[91.0,8.8,2000.0]",3
"[88.0,8.1,2013.0]",3
"[81.0,7.6,2004.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[68.0,7.1250461133070315,2009.0]",0
"[94.0,8.5,2002.0]",3
"[68.0,7.1250461133070315,2015.0]",0
"[67.0,7.3,2007.0]",0
"[74.0,8.4,2005.0]",0
"[68.0,7.1250461133070315,1998.0]",2
"[82.0,7.9,2002.0]",3
"[90.0,8.7,2001.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[82.0,7.9,2007.0]",3
"[96.0,8.9,2005.0]",3
"[86.0,7.6,2008.0]",3
"[91.0,7.6,2009.0]",3
"[82.0,8.7,2004.0]",3
"[68.0,7.1250461133070315,1994.0]",2
"[64.0,7.7,2001.0]",2
"[78.0,8.5,2001.0]",3
"[85.0,6.9,2013.0]",3
"[84.0,9.0,2005.0]",3
"[68.0,6.2,2013.0]",0
"[70.0,8.0,2007.0]",0
"[68.0,7.1250461133070315,2000.0]",2
"[68.0,7.1250461133070315,1997.0]",2
"[78.0,7.8,2006.0]",3
"[72.0,6.8,2002.0]",2
"[68.0,7.1250461133070315,1997.0]",2
"[72.0,7.9,2001.0]",2
"[68.0,7.1250461133070315,2005.0]",0
"[68.0,7.1250461133070315,2000.0]",2
"[88.0,7.5,2010.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[89.0,7.9,2008.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[72.0,4.1,2014.0]",0
"[68.0,7.1250461133070315,1985.0]",2
"[83.0,7.5,2009.0]",3
"[89.0,8.3,2010.0]",3
"[84.0,6.4,0.0]",1
"[80.0,5.8,2013.0]",3
"[92.0,8.7,2009.0]",3
"[79.0,5.6,2013.0]",3
"[88.0,8.6,2010.0]",3
"[68.0,7.1250461133070315,2009.0]",0
"[71.0,8.8,2008.0]",0
"[83.0,8.4,2006.0]",3
"[68.0,7.1250461133070315,2013.0]",0
"[84.0,8.2,2009.0]",3
"[79.0,8.3,2002.0]",3
"[68.0,7.1250461133070315,1994.0]",2
